id,namn,teamname,games,goals,ass,position
1,Daniel Eriksson,Frölunda,27,3,2,LW
2,Alexander Eriksson,Örebro,44,18,13,C
3,Anton Karlsson,Färjestad,23,8,9,LW
4,Erik Westerlund,Rögle,51,3,14,D
5,Simon Bergström,Malmö,10,5,3,LW
6,Linus Bergström,Skellefteå,23,1,1,RW
7,Olle Eriksson,Växjö,32,1,14,RW
8,Albin Eriksson,Djurgården,15,5,3,RW
9,Sebastian Nilsson,Frölunda,52,24,9,LW
10,Lucas Rakell,Rögle,16,1,7,D
11,Daniel Lindholm,Växjö,20,5,3,RW
12,Robin Bergström,Timrå,51,19,20,C
13,Emil Westerlund,Timrå,25,7,6,LW
14,Filip Cehlarik,Örebro,45,21,10,LW
15,Noel Landeskog,Malmö,13,6,0,LW
16,Liam Sjöberg,Djurgården,27,3,9,C
17,Arvid Zetterberg,Växjö,23,3,10,D
18,Melker Larsson,Luleå,18,8,8,LW
19,Filip Backstrom,Leksand,37,2,7,D
20,Viktor Dahlén,HV71,15,1,2,C
21,Daniel Olsson,Malmö,37,12,12,C
22,Jonathan Sandberg,Brynäs,26,10,11,C
23,Oscar Forsberg,Brynäs,27,1,4,RW
24,Hugo Olsson,HV71,10,4,1,RW
25,Leo Cehlarik,Färjestad,50,20,16,RW
26,Jonathan Persson,Skellefteå,33,16,0,LW
27,Jonathan Sjöberg,HV71,11,2,2,C
28,Marcus Andersson,Rögle,46,2,23,C
29,Isac Lindholm,Färjestad,44,4,21,LW
30,Isac Westerlund,Skellefteå,26,1,8,D
31,William Backstrom,Timrå,22,6,10,RW
32,Daniel Holm,HV71,43,1,7,D
33,Marcus Nilsson,Växjö,11,4,1,LW
34,Erik Nilsson,Timrå,50,7,2,C
35,Arvid Andersson,Mora,31,7,8,C
36,Robin Falk,Rögle,44,18,18,LW
37,Isac Lindberg,Malmö,40,1,3,D
38,Hugo Holm,Djurgården,36,6,1,D
39,Robin Hedman,Örebro,16,6,5,C
40,Liam Rakell,Färjestad,25,3,8,LW
41,Filip Sandberg,Rögle,14,2,1,D
42,Anton Hedman,Brynäs,10,1,1,C
43,Hugo Falk,HV71,23,0,2,D
44,Olle Karlsson,Djurgården,26,2,6,D
45,Sebastian Backstrom,Malmö,45,2,6,D
46,Gustav Persson,Frölunda,47,23,10,C
47,Anton Andersson,Leksand,40,1,16,LW
48,Emil Nilsson,Leksand,14,6,1,LW
49,Arvid Östlund,Rögle,47,19,2,C
50,Hugo Forsberg,Leksand,46,8,6,RW
51,Robin Zetterberg,Växjö,25,6,2,RW
52,Gustav Sandberg,Växjö,14,7,1,C
53,Lucas Westerlund,Rögle,42,4,11,RW
54,Arvid Nilsson,Rögle,33,5,14,RW
55,Noel Westerlund,Timrå,29,10,13,C
56,Albin Lundqvist,Örebro,16,4,1,LW
57,Arvid Eriksson,Timrå,45,8,9,LW
58,Sebastian Sjöberg,Rögle,50,16,15,RW
59,Filip Kempe,Mora,13,5,3,C
60,Noel Bergström,Frölunda,10,1,5,RW
61,Filip Olsson,Timrå,38,4,0,D
62,Oscar Nilsson,Timrå,19,5,9,C
63,Albin Larsson,Djurgården,18,4,5,C
64,Arvid Cehlarik,Malmö,12,1,5,RW
65,Marcus Forsberg,Färjestad,32,4,4,D
66,Theo Cehlarik,Rögle,20,6,0,LW
67,Emil Backstrom,Växjö,36,8,5,LW
68,Liam Zetterberg,Färjestad,34,15,7,C
69,Jesper Lindholm,HV71,32,7,7,RW
70,Erik Forsberg,Rögle,35,8,2,RW
71,William Bergström,Växjö,51,8,10,D
72,Erik Eriksson,Luleå,21,0,1,RW
73,Jonathan Ekman,Växjö,30,4,3,D
74,Olle Kempe,Leksand,22,0,11,RW
75,Hugo Karlsson,Brynäs,44,11,13,LW
76,Lucas Forsberg,Växjö,49,21,3,RW
77,Alexander Kempe,Luleå,42,21,13,RW
78,Linus Nyberg,Timrå,28,3,6,LW
79,Robin Nyberg,Örebro,21,6,8,RW
80,Noel Karlsson,Luleå,28,6,12,LW
81,Simon Rask,Örebro,30,3,14,D
82,Robin Persson,Brynäs,40,2,9,LW
83,Leo Forsberg,Örebro,49,2,24,RW
84,Gustav Lindberg,Malmö,22,0,0,LW
85,Marcus Falk,Leksand,14,1,3,D
86,Sebastian Zetterberg,Djurgården,41,1,4,D
87,Daniel Zetterberg,Frölunda,16,0,2,D
88,Leo Sandberg,Frölunda,45,3,14,LW
89,Viktor Nyquist,HV71,52,24,14,RW
90,Jonathan Lindholm,Timrå,42,7,5,D
91,Alexander Rakell,HV71,38,7,8,RW
92,William Landeskog,Brynäs,41,8,14,LW
93,Lucas Zetterberg,Luleå,25,5,5,RW
94,Arvid Westerlund,Färjestad,18,3,6,LW
95,Sebastian Larsson,Timrå,23,6,6,C
96,Linus Westerlund,HV71,36,6,13,C
97,William Östlund,Timrå,11,1,0,D
98,Axel Lundqvist,Malmö,34,4,17,D
99,Liam Rask,Rögle,41,8,13,LW
100,Isac Karlsson,Djurgården,31,5,5,D
